ZIPCode,ideal_count,Latitude,Longitude
32806,2,28.504425,-81.370179
34470,2,29.194534,-82.064758
32779,2,28.680929,-81.433185
32776,2,28.799933,-81.563622
33597,2,28.590591,-82.046987
34446,2,28.709037,-82.523397
32771,2,28.832365,-81.361251
33570,2,27.690242,-82.428441
32763,2,28.947929,-81.282494
33573,2,27.703829,-82.368135
34442,2,28.927935,-82.41894
32754,2,28.70242,-80.856131
34433,2,28.968035,-82.563632
33625,2,28.053257,-82.54484
33708,2,27.833113,-82.831628
34239,2,27.314423,-82.516877
32504,2,30.495169,-87.163117
33853,2,27.905971,-81.558445
33859,2,27.825901,-81.586359
33870,2,27.514396,-81.486327
32541,2,30.396137,-86.499841
34117,2,26.217052,-81.574616
32536,2,30.717445,-86.587647
34116,2,26.166413,-81.724039
33905,2,26.620526,-81.793938
32506,2,30.408667,-87.368766
33912,2,26.536974,-81.818196
33837,2,28.238461,-81.610919
34105,2,26.189909,-81.739102
33922,2,26.693306,-82.149895
33935,2,26.755157,-81.442428
32428,2,30.639662,-85.588451
33947,2,26.900521,-82.27127
33982,2,26.894131,-81.992379
33950,2,26.912479,-82.080207
33981,2,26.959046,-82.242478
33972,2,26.67978,-81.645649
33852,2,27.298661,-81.388286
32548,2,30.413291,-86.59427
33635,2,28.03349,-82.587236
34223,2,27.006141,-82.366828
33637,2,28.030817,-82.374065
34234,2,27.379806,-82.550654
33704,2,27.798086,-82.651699
33706,2,27.713728,-82.731745
33484,2,26.445887,-80.131927
33710,2,27.776552,-82.740319
33712,2,27.709301,-82.675381
33713,2,27.796465,-82.677494
33715,2,27.717311,-82.704125
32309,2,30.532834,-84.238279
33823,2,28.056745,-81.784048
32311,2,30.400586,-84.163898
32583,2,30.54778,-87.088352
33771,2,27.902116,-82.768863
32571,2,30.63959,-87.193133
33774,2,27.886493,-82.838564
32568,2,30.919138,-87.479901
33809,2,28.164975,-81.928202
34205,2,27.497907,-82.565506
33812,2,27.955922,-81.888938
34488,2,29.191097,-81.918131
33545,2,28.270428,-82.296333
33483,2,26.437125,-80.067521
33312,2,26.093715,-80.19114
34743,2,28.343809,-81.37976
34741,2,28.312483,-81.429413
33180,2,25.964942,-80.125224
33183,2,25.691509,-80.420948
33478,2,26.911705,-80.221748
33304,2,26.133859,-80.110973
32086,2,29.839845,-81.329774
32114,2,29.198504,-81.045305
33165,2,25.745719,-80.349312
32934,2,28.18504,-80.678519
33324,2,26.092101,-80.279684
33330,2,26.056504,-80.311207
33331,2,26.038634,-80.348669
33334,2,26.178204,-80.142206
32905,2,28.026571,-80.623677
32145,2,29.710539,-81.510099
32950,2,27.9923,-80.576729
33160,2,25.935392,-80.153024
33415,2,26.653773,-80.126
32054,2,29.962458,-82.528083
33027,2,25.962234,-80.316588
33028,2,26.021479,-80.342605
32040,2,30.409394,-82.214016
34984,2,27.29355,-80.359836
34983,2,27.289299,-80.329948
33062,2,26.238336,-80.091074
33064,2,26.267589,-80.092622
32976,2,27.890147,-80.511274
32955,2,28.273307,-80.736875
32055,2,30.207555,-82.69685
33071,2,26.237496,-80.251784
34949,2,27.465323,-80.298206
34788,2,28.905912,-81.762629
33141,2,25.857744,-80.127766
33143,2,25.700797,-80.289438
34786,2,28.518485,-81.573803
33414,2,26.664376,-80.253376
33196,2,25.675599,-80.437409
34652,2,28.233193,-82.754114
34637,2,28.270202,-82.461392
33470,2,26.744142,-80.332358
32820,2,28.570464,-81.12854
33461,2,26.612181,-80.101337
32824,2,28.390532,-81.379573
32825,2,28.514177,-81.222881
32827,2,28.427112,-81.267694
32829,2,28.505804,-81.2635
33442,2,26.321616,-80.162256
33440,2,26.749009,-80.93928
33436,2,26.488781,-80.130496
32839,2,28.487286,-81.411087
33432,2,26.362202,-80.092319
33955,2,26.872416,-82.002518
34638,2,28.197049,-82.472975
33428,2,26.357079,-80.195222
32254,1,30.325581,-81.71281
32352,1,30.662919,-84.624081
32404,1,30.113907,-85.603185
34602,1,28.488325,-82.336758
32401,1,30.171942,-85.694558
34475,1,29.252537,-82.141859
34474,1,29.131691,-82.217045
34950,1,27.439387,-80.329323
34431,1,29.049492,-82.501794
32351,1,30.585839,-84.568133
34479,1,29.234888,-82.105229
32058,1,30.081581,-82.093109
32350,1,30.603321,-83.382278
34946,1,27.471547,-80.37879
34604,1,28.490665,-82.468392
34654,1,28.284575,-82.670516
34142,1,26.320187,-81.420046
32431,1,30.710218,-85.358653
34201,1,27.405017,-82.456989
32348,1,29.882165,-83.616086
34112,1,26.138061,-81.694318
32405,1,30.199571,-85.668251
32219,1,30.399514,-81.732818
34291,1,27.082671,-82.242484
34994,1,27.222968,-80.27366
34484,1,28.937897,-82.01822
32209,1,30.339768,-81.699126
32025,1,30.092991,-82.60147
32033,1,29.785976,-81.376767
32207,1,30.277336,-81.631419
32210,1,30.261633,-81.70182
32417,1,30.183602,-85.809759
32413,1,30.268234,-85.977978
34288,1,27.034346,-82.166221
34101,1,26.163266,-81.790315
32409,1,30.309215,-85.614423
34982,1,27.370365,-80.337636
32408,1,30.14932,-85.76053
34981,1,27.373278,-80.356657
34974,1,27.07042,-81.070389
32407,1,30.185085,-85.815283
32205,1,30.293382,-81.717117
32333,1,30.626743,-84.417902
34769,1,28.23048,-81.310254
32063,1,30.302381,-82.134093
32266,1,30.316937,-81.414526
34229,1,27.200454,-82.471235
32084,1,29.914554,-81.295845
34705,1,28.711063,-81.724508
32131,1,29.641687,-81.606602
32177,1,29.625684,-81.67254
32220,1,30.33746,-81.850838
34232,1,27.324804,-82.491261
32087,1,30.474658,-82.209069
32091,1,29.944822,-82.105897
34224,1,26.929677,-82.302145
34235,1,27.364639,-82.479224
34236,1,27.330269,-82.540237
32113,1,29.435139,-82.028104
34610,1,28.422094,-82.543998
34238,1,27.211472,-82.485421
32117,1,29.247412,-81.039477
32119,1,29.169445,-81.006655
32244,1,30.244054,-81.733851
34734,1,28.532183,-81.529985
32189,1,29.568341,-81.59095
32258,1,30.117376,-81.524982
32204,1,30.312415,-81.682369
34287,1,27.062031,-82.208731
34761,1,28.61247,-81.555846
32064,1,30.28621,-82.988847
34465,1,28.920282,-82.441769
34207,1,27.428672,-82.589297
34208,1,27.486825,-82.544246
32159,1,28.934038,-81.976457
34210,1,27.43149,-82.621747
32066,1,30.073422,-83.073555
34452,1,28.789276,-82.333186
34756,1,28.60302,-81.688761
34747,1,28.335916,-81.636303
34746,1,28.187171,-81.435182
32322,1,29.851628,-84.66498
32080,1,29.778595,-81.26297
32134,1,29.469016,-81.957974
32310,1,30.436393,-84.40388
34661,1,28.645779,-82.261976
32327,1,30.264382,-84.368105
33022,1,26.013708,-80.144003
33966,1,26.601105,-81.821664
33954,1,27.020367,-82.054993
33412,1,26.780296,-80.217613
32909,1,27.91778,-80.647368
33406,1,26.640701,-80.074418
33351,1,26.167356,-80.272516
33332,1,26.031783,-80.408875
32920,1,28.371178,-80.606772
32922,1,28.386129,-80.751298
32937,1,28.177694,-80.601964
33321,1,26.210126,-80.242248
33319,1,26.167489,-80.229543
32949,1,27.891911,-80.515304
33315,1,26.104785,-80.15707
33314,1,26.051635,-80.232359
33313,1,26.147254,-80.227066
33311,1,26.152242,-80.151733
33417,1,26.746068,-80.120107
32901,1,28.066604,-80.611916
33426,1,26.535719,-80.078738
32822,1,28.492758,-81.31073
32811,1,28.518433,-81.431449
33493,1,26.662909,-80.714623
33487,1,26.423202,-80.087974
33486,1,26.341557,-80.105138
33472,1,26.551646,-80.179579
32818,1,28.563888,-81.507525
33460,1,26.605503,-80.051464
33431,1,26.38583,-80.0719
33449,1,26.616759,-80.236063
33441,1,26.301202,-80.090914
33438,1,26.862836,-80.631532
32832,1,28.397326,-81.219372
32854,1,28.566811,-81.388649
32009,1,30.441198,-81.867576
33193,1,25.70945,-80.451575
33190,1,25.558319,-80.340259
33189,1,25.573251,-80.336765
33018,1,25.892158,-80.361201
33129,1,25.759534,-80.205379
33073,1,26.326874,-80.199669
32968,1,27.598826,-80.441797
33066,1,26.251714,-80.184816
33015,1,25.954692,-80.319469
33056,1,25.952607,-80.252386
33050,1,24.731373,-81.047607
33134,1,25.753184,-80.255861
33042,1,24.65309,-81.44122
33037,1,25.134828,-80.400189
33035,1,25.452444,-80.437163
33030,1,25.491036,-80.489152
33029,1,26.004948,-80.413751
33019,1,26.011472,-80.118917
33130,1,25.765054,-80.195919
33138,1,25.85155,-80.177332
33187,1,25.622376,-80.442388
33172,1,25.772823,-80.367607
33186,1,25.678045,-80.430964
33179,1,25.964513,-80.189962
33177,1,25.605447,-80.421795
33175,1,25.733052,-80.418261
33174,1,25.758647,-80.362114
33173,1,25.705858,-80.340969
33168,1,25.900161,-80.21496
33142,1,25.808769,-80.216443
33166,1,25.810385,-80.276827
32951,1,27.939043,-80.496925
33156,1,25.658744,-80.324239
33150,1,25.85993,-80.203259
33145,1,25.749474,-80.250599
33144,1,25.758674,-80.303198
33514,1,28.641621,-82.047241
33523,1,28.400293,-82.199202
33525,1,28.322803,-82.207054
33805,1,28.100756,-81.942596
33860,1,27.920696,-81.989816
33843,1,27.745802,-81.459574
33834,1,27.645245,-81.820042
33831,1,27.895309,-81.842119
32547,1,30.442631,-86.609862
33811,1,27.965288,-81.990724
32567,1,30.9412,-86.3838
33876,1,27.399794,-81.414429
33778,1,27.889127,-82.796669
33777,1,27.854275,-82.756292
32580,1,30.511199,-86.506343
33763,1,28.000336,-82.762767
33762,1,27.905111,-82.675121
33761,1,28.017817,-82.712573
33872,1,27.49863,-81.505195
32539,1,30.705525,-86.567664
33755,1,27.982155,-82.785151
32464,1,30.983745,-85.994964
32438,1,30.4888,-85.452338
32440,1,30.880358,-85.620594
33936,1,26.599321,-81.660999
32444,1,30.230099,-85.670963
33920,1,26.694823,-81.710262
32455,1,30.680604,-85.909441
33916,1,26.619246,-81.829399
33897,1,28.319802,-81.66501
32465,1,30.114773,-85.205309
33910,1,26.632906,-81.9572
32531,1,30.98053,-86.665553
32533,1,30.582529,-87.350609
33903,1,26.648408,-81.905821
32535,1,30.969648,-87.250896
33759,1,28.007773,-82.716441
33716,1,27.875647,-82.623904
33527,1,27.970483,-82.263215
33576,1,28.313785,-82.298044
33602,1,27.944477,-82.44788
32730,1,28.649973,-81.336412
32732,1,28.76743,-81.113797
33592,1,28.065831,-82.310778
33583,1,27.983149,-82.278132
32751,1,28.63721,-81.348973
33568,1,27.857939,-82.323235
33604,1,28.007698,-82.461143
32773,1,28.760553,-81.307411
32803,1,28.567202,-81.361592
33548,1,28.122967,-82.46917
32805,1,28.510741,-81.410687
32807,1,28.531383,-81.324034
33541,1,28.231993,-82.216612
33603,1,27.992804,-82.462371
33605,1,27.973415,-82.446906
33714,1,27.819995,-82.699092
32618,1,29.513686,-82.600328
33707,1,27.759858,-82.714859
33705,1,27.722212,-82.648571
32609,1,29.681491,-82.335218
33702,1,27.834714,-82.612147
32617,1,29.352031,-82.08779
33646,1,27.964074,-82.437572
33626,1,28.057971,-82.626302
33610,1,27.986756,-82.437526
33621,1,27.840752,-82.475357
32622,1,29.957236,-82.274711
33617,1,28.043364,-82.407385
33616,1,27.873292,-82.508948
32640,1,29.603944,-82.136641
32680,1,29.695417,-82.969479
32569,1,30.409201,-86.786099
